gid,stad,temp,humd,wspd,wdir,cond,surf,h,date2,date_id
2920,Heinz Field,17.0,44.0,10.0,NW,Partly Cloudy,Grass,PIT,2011-01-23,2011-01-23PIT
2921,Cowboys Stadium,,,,,Closed Roof,AstroTurf,GB,2011-02-06,2011-02-06GB
2922,Lambeau Field,68.0,67.0,5.0,NE,Clear,DD GrassMaster,GB,2011-09-08,2011-09-08GB
2923,Soldier Field,76.0,57.0,7.0,W,Partly Cloudy,Grass,CHI,2011-09-11,2011-09-11CHI
2924,Reliant Stadium,,,,,Closed Roof,Grass,HOU,2011-09-11,2011-09-11HOU
2925,Arrowhead Stadium,75.0,65.0,0.0,CALM,Sunny,Grass,KC,2011-09-11,2011-09-11KC
2926,EverBank Field,87.0,52.0,5.0,SE,Chance Rain,Grass,JAC,2011-09-11,2011-09-11JAC
2927,Cleveland Browns Stadium,72.0,,9.0,VAR,Sunny,Grass,CLE,2011-09-11,2011-09-11CLE
2928,Edward Jones Dome,,,,,Dome,AstroTurf,STL,2011-09-11,2011-09-11STL
2929,M&T Bank Stadium,75.0,71.0,2.0,NE,Partly Cloudy,MomentumTurf,BAL,2011-09-11,2011-09-11BAL
2930,Raymond James Stadium,86.0,55.0,6.0,WSW,Sunny,Grass,TB,2011-09-11,2011-09-11TB
2931,Qualcomm Stadium,74.0,52.0,7.0,NNW,Sunny,Grass,SD,2011-09-11,2011-09-11SD
2932,FedEx Field,87.0,38.0,5.0,wsw,Sunny,Grass,WAS,2011-09-11,2011-09-11WAS
2933,University of Phoenix Stadium,,,,,Dome,Grass,ARI,2011-09-11,2011-09-11ARI
2934,Candlestick Park,68.0,63.0,15.0,S,Cloudy,Grass,SF,2011-09-11,2011-09-11SF
2935,MetLife Stadium,70.0,89.0,6.0,ESE,Cloudy,FieldTurf,NYJ,2011-09-11,2011-09-11NYJ
2936,Sun Life Stadium,82.0,73.0,11.0,NE,Partly Cloudy,Grass,MIA,2011-09-12,2011-09-12MIA
2937,Sports Authority Field at Mile High,75.0,29.0,6.0,NW,Mostly Cloudy,Grass,DEN,2011-09-12,2011-09-12DEN
2938,Heinz Field,63.0,59.0,12.0,ESE,Partly Cloudy,Grass,PIT,2011-09-18,2011-09-18PIT
2939,LP Field,76.0,54.0,11.0,S,Sunny,Grass,TEN,2011-09-18,2011-09-18TEN
2940,MetLife Stadium,66.0,71.0,12.0,ENE,Clear,FieldTurf,NYJ,2011-09-18,2011-09-18NYJ
2941,FedEx Field,66.0,71.0,7.0,ENE,Cloudy,Grass,WAS,2011-09-18,2011-09-18WAS
2942,Ralph Wilson Stadium,65.0,47.0,5.0,SE,Sunny,A Turf Titan,BUF,2011-09-18,2011-09-18BUF
2943,Mall of America Field at HHH Metrodome,62.0,,,,Dome,UBU Speed Series S5M,MIN,2011-09-18,2011-09-18MIN
2944,Louisiana Superdome,80.0,,,,Dome,UBU Speed Series S5M,NO,2011-09-18,2011-09-18NO
2945,Bank of America Stadium,64.0,67.0,11.0,NE,Cloudy,Grass,CAR,2011-09-18,2011-09-18CAR
2946,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,IND,2011-09-18,2011-09-18IND
2947,Ford Field,67.0,,,,Dome,FieldTurf,DET,2011-09-18,2011-09-18DET
2948,Candlestick Park,70.0,60.0,3.0,NE,Sunny,Grass,SF,2011-09-18,2011-09-18SF
2949,Sports Authority Field at Mile High,69.0,27.0,6.0,NE,Sunny,Grass,DEN,2011-09-18,2011-09-18DEN
2950,Sun Life Stadium,87.0,59.0,15.0,ENE,Sunny,Grass,MIA,2011-09-18,2011-09-18MIA
2951,Gillette Stadium,63.0,,16.0,ENE,Partly Cloudy,FieldTurf,NE,2011-09-18,2011-09-18NE
2952,Georgia Dome,,,,,Dome,FieldTurf,ATL,2011-09-18,2011-09-18ATL
2953,MetLife Stadium,60.0,72.0,6.0,N,Clear,FieldTurf,NYG,2011-09-19,2011-09-19NYG
2954,Bank of America Stadium,75.0,87.0,4.0,SSE,Cloudy,Grass,CAR,2011-09-25,2011-09-25CAR
2955,LP Field,73.0,51.0,11.0,SSE,Sunny,Grass,TEN,2011-09-25,2011-09-25TEN
2956,Louisiana Superdome,85.0,,,,Dome,UBU Speed Series S5M,NO,2011-09-25,2011-09-25NO
2957,Mall of America Field at HHH Metrodome,63.0,,,,Dome,UBU Speed Series S5M,MIN,2011-09-25,2011-09-25MIN
2958,Lincoln Financial Field,76.0,79.0,5.0,NNE,Cloudy,Grass,PHI,2011-09-25,2011-09-25PHI
2959,Ralph Wilson Stadium,78.0,60.0,8.0,ESE,Sunny,A Turf Titan,BUF,2011-09-25,2011-09-25BUF
2960,Cleveland Browns Stadium,70.0,72.0,5.0,SSW,Sunny,Grass,CLE,2011-09-25,2011-09-25CLE
2961,Paul Brown Stadium,71.0,61.0,2.0,E,Partly CLoudy,FieldTurf,CIN,2011-09-25,2011-09-25CIN
2962,O.co Coliseum Oakland,70.0,70.0,7.0,SW,Cloudy,Grass,OAK,2011-09-25,2011-09-25OAK
2963,Edward Jones Dome,,,,,Dome,FieldTurf,STL,2011-09-25,2011-09-25STL
2964,Qualcomm Stadium,67.0,68.0,8.0,W,Partly Cloudy,Grass,SD,2011-09-25,2011-09-25SD
2965,Raymond James Stadium,89.0,94.0,9.0,S,Rain,Grass,TB,2011-09-25,2011-09-25TB
2966,Soldier Field,61.0,85.0,10.0,S,Chance Rain,Grass,CHI,2011-09-25,2011-09-25CHI
2967,CenturyLink Field,68.0,,20.0,S,Rain,FieldTurf,SEA,2011-09-25,2011-09-25SEA
2968,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,IND,2011-09-25,2011-09-25IND
2969,Cowboys Stadium,,,,,Closed Roof,AstroTurf,DAL,2011-09-26,2011-09-26DAL
2970,Cowboys Stadium,,,,,Closed Roof,AstroTurf,DAL,2011-10-02,2011-10-02DAL
2971,Soldier Field,60.0,50.0,8.0,N,Sunny,Grass,CHI,2011-10-02,2011-10-02CHI
2972,EverBank Field,71.0,40.0,5.0,NW,Clear,Grass,JAC,2011-10-02,2011-10-02JAC
2973,Cleveland Browns Stadium,48.0,0.0,24.0,NE,Cloudy,Grass,CLE,2011-10-02,2011-10-02CLE
2974,Paul Brown Stadium,57.0,48.0,13.0,NNW,Sunny,FieldTurf,CIN,2011-10-02,2011-10-02CIN
2975,Arrowhead Stadium,65.0,40.0,7.0,S,Sunny,Grass,KC,2011-10-02,2011-10-02KC
2976,Lincoln Financial Field,54.0,78.0,20.0,SSE,Cloudy,Grass,PHI,2011-10-02,2011-10-02PHI
2977,Edward Jones Dome,,,,,Dome,AstroTurf,STL,2011-10-02,2011-10-02STL
2978,Reliant Stadium,75.0,35.0,12.0,E,Closed Roof,Grass,HOU,2011-10-02,2011-10-02HOU
2979,CenturyLink Field,58.0,,0.0,CALM,Partly Sunny,FieldTurf,SEA,2011-10-02,2011-10-02SEA
2980,University of Phoenix Stadium,,,,,Dome,Grass,ARI,2011-10-02,2011-10-02ARI
2981,Lambeau Field,67.0,37.0,10.0,W,Sunny,DD GrassMaster,GB,2011-10-02,2011-10-02GB
2982,O.co Coliseum Oakland,71.0,50.0,6.0,WNW,Partly Cloudy,Grass,OAK,2011-10-02,2011-10-02OAK
2983,Qualcomm Stadium,84.0,32.0,9.0,NW,Sunny,Grass,SD,2011-10-02,2011-10-02SD
2984,M&T Bank Stadium,51.0,66.0,6.0,WSW,Chance Rain,MomentumTurf,BAL,2011-10-02,2011-10-02BAL
2985,Raymond James Stadium,80.0,56.0,,,Clear,Grass,TB,2011-10-03,2011-10-03TB
2986,Bank of America Stadium,68.0,50.0,12.0,NE,Cloudy,Grass,CAR,2011-10-09,2011-10-09CAR
2987,Ralph Wilson Stadium,74.0,47.0,6.0,WSW,Sunny,A Turf Titan,BUF,2011-10-09,2011-10-09BUF
2988,MetLife Stadium,81.0,42.0,4.0,NW,Sunny,FieldTurf,NYG,2011-10-09,2011-10-09NYG
2989,EverBank Field,79.0,68.0,15.0,NE,Chance Rain,Grass,JAC,2011-10-09,2011-10-09JAC
2990,Lucas Oil Stadium,72.0,64.0,1.0,ESE,Sunny,AstroTurf,IND,2011-10-09,2011-10-09IND
2991,Heinz Field,70.0,53.0,3.0,SE,Sunny,Grass,PIT,2011-10-09,2011-10-09PIT
2992,Mall of America Field at HHH Metrodome,66.0,,,,Dome,UBU Speed Series S5M,MIN,2011-10-09,2011-10-09MIN
2993,Reliant Stadium,,,,,Closed Roof,Grass,HOU,2011-10-09,2011-10-09HOU
2994,Candlestick Park,62.0,75.0,6.0,NE,Sunny,Grass,SF,2011-10-09,2011-10-09SF
2995,Gillette Stadium,82.0,40.0,9.0,NW,Sunny,FieldTurf,NE,2011-10-09,2011-10-09NE
2996,Sports Authority Field at Mile High,52.0,45.0,6.0,NE,Mostly Sunny,Grass,DEN,2011-10-09,2011-10-09DEN
2997,Georgia Dome,,,,,Dome,AstroTurf,ATL,2011-10-09,2011-10-09ATL
2998,Ford Field,70.0,,,,Dome,FieldTurf,DET,2011-10-10,2011-10-10DET
2999,Georgia Dome,,,,,Dome,FieldTurf,ATL,2011-10-16,2011-10-16ATL
3000,Ford Field,67.0,,,,Dome,FieldTurf,DET,2011-10-16,2011-10-16DET
3001,Paul Brown Stadium,71.0,41.0,16.0,SW,Sunny,FieldTurf,CIN,2011-10-16,2011-10-16CIN
3002,FedEx Field,68.0,26.0,7.0,WSW,Sunny,Grass,WAS,2011-10-16,2011-10-16WAS
3003,Lambeau Field,57.0,41.0,28.0,W,Partly Cloudy,DD GrassMaster,GB,2011-10-16,2011-10-16GB
3004,Heinz Field,58.0,52.0,10.0,SSW,Cloudy,Grass,PIT,2011-10-16,2011-10-16PIT
3005,MetLife Stadium,65.0,40.0,15.0,WSW,Sunny,FieldTurf,NYG,2011-10-16,2011-10-16NYG
3006,O.co Coliseum Oakland,71.0,60.0,8.0,W,Sunny,Grass,OAK,2011-10-16,2011-10-16OAK
3007,M&T Bank Stadium,72.0,29.0,10.0,SSW,Partly Cloudy,MomentumTurf,BAL,2011-10-16,2011-10-16BAL
3008,Raymond James Stadium,84.0,,11.0,E,Cloudy,Grass,TB,2011-10-16,2011-10-16TB
3009,Gillette Stadium,63.0,,13.0,WSW,Partly Cloudy,FieldTurf,NE,2011-10-16,2011-10-16NE
3010,Soldier Field,56.0,48.0,11.0,W,Clear,Grass,CHI,2011-10-16,2011-10-16CHI
3011,MetLife Stadium,62.0,37.0,12.0,N,Clear,FieldTurf,NYJ,2011-10-17,2011-10-17NYJ
3012,MetLife Stadium,58.0,46.0,0.0,CALM,Sunny,FieldTurf,NYJ,2011-10-23,2011-10-23NYJ
3013,Cleveland Browns Stadium,56.0,53.0,7.0,S,Sunny,Grass,CLE,2011-10-23,2011-10-23CLE
3014,Ford Field,67.0,,,,Dome,FieldTurf,DET,2011-10-23,2011-10-23DET
3015,Bank of America Stadium,62.0,56.0,0.0,N,Sunny,Grass,CAR,2011-10-23,2011-10-23CAR
3016,Wembley Stadium,62.0,54.0,15.0,SE,Clear,Grass,TB,2011-10-23,2011-10-23TB
3017,Sun Life Stadium,77.0,57.0,9.0,NNW,Sunny,Grass,MIA,2011-10-23,2011-10-23MIA
3018,LP Field,72.0,35.0,0.0,CALM,Sunny,Grass,TEN,2011-10-23,2011-10-23TEN
3019,University of Phoenix Stadium,,,,,Dome,Grass,ARI,2011-10-23,2011-10-23ARI
3020,O.co Coliseum Oakland,79.0,46.0,6.0,SW,Sunny,Grass,OAK,2011-10-23,2011-10-23OAK
3021,Mall of America Field at HHH Metrodome,68.0,,,,Dome,UBU Speed Series S5M,MIN,2011-10-23,2011-10-23MIN
3022,Cowboys Stadium,,,,,Closed Roof,AstroTurf,DAL,2011-10-23,2011-10-23DAL
3023,Mercedes-Benz Superdome,75.0,,,,Dome,UBU Speed Series S5M,NO,2011-10-23,2011-10-23NO
3024,EverBank Field,60.0,77.0,0.0,CALM,Chance Rain,Grass,JAC,2011-10-24,2011-10-24JAC
3025,Edward Jones Dome,60.0,,,,Dome,FieldTurf,STL,2011-10-30,2011-10-30STL
3026,MetLife Stadium,41.0,55.0,12.0,NW,Sunny,FieldTurf,NYG,2011-10-30,2011-10-30NYG
3027,M&T Bank Stadium,48.0,49.0,9.0,NW,Sunny,MomentumTurf,BAL,2011-10-30,2011-10-30BAL
3028,Bank of America Stadium,54.0,52.0,6.0,NNE,Sunny,Grass,CAR,2011-10-30,2011-10-30CAR
3029,LP Field,62.0,35.0,0.0,CALM,Sunny,Grass,TEN,2011-10-30,2011-10-30TEN
3030,Reliant Stadium,,,,,Closed Roof,Grass,HOU,2011-10-30,2011-10-30HOU
3031,Sports Authority Field at Mile High,56.0,31.0,5.0,NE,Sunny,Grass,DEN,2011-10-30,2011-10-30DEN
3032,Rogers Centre,,,,,Closed Roof,Artificial Turf,BUF,2011-10-30,2011-10-30BUF
3033,CenturyLink Field,56.0,,14.0,SSW,Cloudy,FieldTurf,SEA,2011-10-30,2011-10-30SEA
3034,Candlestick Park,67.0,68.0,5.0,N,Sunny,Grass,SF,2011-10-30,2011-10-30SF
3035,Heinz Field,40.0,79.0,3.0,SE,Cloudy,Grass,PIT,2011-10-30,2011-10-30PIT
3036,Lincoln Financial Field,42.0,64.0,5.0,WNW,Clear,Grass,PHI,2011-10-30,2011-10-30PHI
3037,Arrowhead Stadium,63.0,31.0,0.0,CALM,Clear,Grass,KC,2011-10-31,2011-10-31KC
3038,Arrowhead Stadium,62.0,45.0,12.0,SW,Cloudy,Grass,KC,2011-11-06,2011-11-06KC
3039,Mercedes-Benz Superdome,70.0,,,,Dome,UBU Speed Series S5M,NO,2011-11-06,2011-11-06NO
3040,Lucas Oil Stadium,57.0,48.0,15.0,S,Sunny,AstroTurf,IND,2011-11-06,2011-11-06IND
3041,Reliant Stadium,,,,,Closed Roof,Grass,HOU,2011-11-06,2011-11-06HOU
3042,Ralph Wilson Stadium,57.0,26.0,8.0,SW,Sunny,A Turf Titan,BUF,2011-11-06,2011-11-06BUF
3043,FedEx Field,56.0,48.0,6.0,S,Sunny,Grass,WAS,2011-11-06,2011-11-06WAS
3044,Cowboys Stadium,,,,,Closed Roof,AstroTurf,DAL,2011-11-06,2011-11-06DAL
3045,LP Field,68.0,39.0,13.0,S,Sunny,Grass,TEN,2011-11-06,2011-11-06TEN
3046,O.co Coliseum Oakland,62.0,50.0,5.0,S,Partly Cloudy,Grass,OAK,2011-11-06,2011-11-06OAK
3047,Gillette Stadium,54.0,,9.0,SSW,Sunny,FieldTurf,NE,2011-11-06,2011-11-06NE
3048,University of Phoenix Stadium,,,,,Dome,Grass,ARI,2011-11-06,2011-11-06ARI
3049,Qualcomm Stadium,53.0,90.0,10.0,S,Rain,Grass,SD,2011-11-06,2011-11-06SD
3050,Heinz Field,50.0,43.0,2.0,SE,Partly Cloudy,Grass,PIT,2011-11-06,2011-11-06PIT
3051,Lincoln Financial Field,51.0,74.0,2.0,WSW,Clear,Grass,PHI,2011-11-07,2011-11-07PHI
3052,Qualcomm Stadium,69.0,27.0,5.0,NE,Clear,Grass,SD,2011-11-10,2011-11-10SD
3053,Soldier Field,69.0,44.0,22.0,SW,Cloudy,Grass,CHI,2011-11-13,2011-11-13CHI
3054,Lucas Oil Stadium,62.0,66.0,20.0,SSW,Cloudy,AstroTurf,IND,2011-11-13,2011-11-13IND
3055,Arrowhead Stadium,67.0,23.0,15.0,SW,Sunny,Grass,KC,2011-11-13,2011-11-13KC
3056,Paul Brown Stadium,62.0,60.0,23.0,S,Cloudy,FieldTurf,CIN,2011-11-13,2011-11-13CIN
3057,Cowboys Stadium,,,,,Closed Roof,AstroTurf,DAL,2011-11-13,2011-11-13DAL
3058,Georgia Dome,,,,,Dome,AstroTurf,ATL,2011-11-13,2011-11-13ATL
3059,Cleveland Browns Stadium,60.0,,40.0,S,Clear,Grass,CLE,2011-11-13,2011-11-13CLE
3060,Sun Life Stadium,79.0,58.0,19.0,ENE,Mostly Cloudy,Grass,MIA,2011-11-13,2011-11-13MIA
3061,Raymond James Stadium,77.0,47.0,9.0,SE,Partly Cloudy,Grass,TB,2011-11-13,2011-11-13TB
3062,Bank of America Stadium,57.0,54.0,12.0,SSW,Cloudy,Grass,CAR,2011-11-13,2011-11-13CAR
3063,Lincoln Financial Field,60.0,40.0,15.0,SSW,Partly Cloudy,Grass,PHI,2011-11-13,2011-11-13PHI
3064,CenturyLink Field,50.0,,10.0,SSW,Cloudy,FieldTurf,SEA,2011-11-13,2011-11-13SEA
3065,Candlestick Park,58.0,74.0,10.0,N,Sunny,Grass,SF,2011-11-13,2011-11-13SF
3066,MetLife Stadium,58.0,37.0,12.0,SSW,Clear,FieldTurf,NYJ,2011-11-13,2011-11-13NYJ
3067,Lambeau Field,47.0,68.0,13.0,SW,Clear,DD GrassMaster,GB,2011-11-14,2011-11-14GB
3068,Sports Authority Field at Mile High,54.0,20.0,3.0,NE,Partly Cloudy,Grass,DEN,2011-11-17,2011-11-17DEN
3069,Ford Field,70.0,,,,Dome,FieldTurf,DET,2011-11-20,2011-11-20DET
3070,Lambeau Field,32.0,66.0,7.0,N,Cloudy,DD GrassMaster,GB,2011-11-20,2011-11-20GB
3071,FedEx Field,62.0,55.0,4.0,SSW,Cloudy,Grass,WAS,2011-11-20,2011-11-20WAS
3072,Sun Life Stadium,80.0,79.0,15.0,E,Mostly Cloudy,Grass,MIA,2011-11-20,2011-11-20MIA
3073,Cleveland Browns Stadium,57.0,5.0,15.0,W,Cloudy,Grass,CLE,2011-11-20,2011-11-20CLE
3074,Georgia Dome,,,,,Dome,FieldTurf,ATL,2011-11-20,2011-11-20ATL
3075,Mall of America Field at HHH Metrodome,63.0,,,,Dome,UBU Speed Series S5M,MIN,2011-11-20,2011-11-20MIN
3076,M&T Bank Stadium,67.0,59.0,7.0,SW,Partly Cloudy,MomentumTurf,BAL,2011-11-20,2011-11-20BAL
3077,Edward Jones Dome,,,,,Dome,AstroTurf,STL,2011-11-20,2011-11-20STL
3078,Candlestick Park,55.0,72.0,15.0,SE,Rain,Grass,SF,2011-11-20,2011-11-20SF
3079,Soldier Field,42.0,78.0,13.0,N,Cloudy,Grass,CHI,2011-11-20,2011-11-20CHI
3080,MetLife Stadium,58.0,66.0,10.0,SW,Partly Cloudy,FieldTurf,NYG,2011-11-20,2011-11-20NYG
3081,Gillette Stadium,33.0,,2.0,ENE,Clear,FieldTurf,NE,2011-11-21,2011-11-21NE
3082,Ford Field,67.0,,,,Dome,FieldTurf,DET,2011-11-24,2011-11-24DET
3083,Cowboys Stadium,,,,,Closed Roof,AstroTurf,DAL,2011-11-24,2011-11-24DAL
3084,M&T Bank Stadium,53.0,32.0,8.0,W,Clear,MomentumTurf,BAL,2011-11-24,2011-11-24BAL
3085,Georgia Dome,63.0,,,,Dome,FieldTurf,ATL,2011-11-27,2011-11-27ATL
3086,EverBank Field,75.0,61.0,10.0,SSE,Chance Rain,Grass,JAC,2011-11-27,2011-11-27JAC
3087,LP Field,47.0,96.0,20.0,NW,Cloudy,Grass,TEN,2011-11-27,2011-11-27TEN
3088,Edward Jones Dome,,,,,Dome,FieldTurf,STL,2011-11-27,2011-11-27STL
3089,Paul Brown Stadium,57.0,98.0,7.0,S,Rain,FieldTurf,CIN,2011-11-27,2011-11-27CIN
3090,MetLife Stadium,60.0,63.0,10.0,SSW,Partly Cloudy,FieldTurf,NYJ,2011-11-27,2011-11-27NYJ
3091,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,IND,2011-11-27,2011-11-27IND
3092,CenturyLink Field,52.0,,13.0,SSW,Rain,FieldTurf,SEA,2011-11-27,2011-11-27SEA
3093,O.co Coliseum Oakland,59.0,76.0,6.0,WNW,Partly Cloudy,Grass,OAK,2011-11-27,2011-11-27OAK
3094,Lincoln Financial Field,63.0,56.0,12.0,SSW,Cloudy,Grass,PHI,2011-11-27,2011-11-27PHI
3095,Qualcomm Stadium,84.0,12.0,0.0,CALM,Sunny,Grass,SD,2011-11-27,2011-11-27SD
3096,Arrowhead Stadium,32.0,,5.0,N,Clear,Grass,KC,2011-11-27,2011-11-27KC
3097,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,NO,2011-11-28,2011-11-28NO
3098,CenturyLink Field,38.0,,2.0,S,Clear,FieldTurf,SEA,2011-12-01,2011-12-01SEA
3099,Sun Life Stadium,80.0,49.0,22.0,ENE,Sunny,Grass,MIA,2011-12-04,2011-12-04MIA
3100,Reliant Stadium,72.0,,,,Closed Roof,Grass,HOU,2011-12-04,2011-12-04HOU
3101,Ralph Wilson Stadium,57.0,41.0,18.0,WSW,Mostly Cloudy,A Turf Titan,BUF,2011-12-04,2011-12-04BUF
3102,Soldier Field,46.0,79.0,17.0,W,Cloudy,Grass,CHI,2011-12-04,2011-12-04CHI
3103,FedEx Field,53.0,57.0,5.0,SW,Sunny,Grass,WAS,2011-12-04,2011-12-04WAS
3104,Heinz Field,59.0,28.0,14.0,SSW,Partly Cloudy,Grass,PIT,2011-12-04,2011-12-04PIT
3105,Cleveland Browns Stadium,54.0,,30.0,S,Rain,Grass,CLE,2011-12-04,2011-12-04CLE
3106,Raymond James Stadium,79.0,46.0,13.0,ENE,Cloudy,Grass,TB,2011-12-04,2011-12-04TB
3107,Gillette Stadium,51.0,,10.0,S,Cloudy,FieldTurf,NE,2011-12-04,2011-12-04NE
3108,Mall of America Field at HHH Metrodome,65.0,,,,Dome,UBU Speed Series S5M,MIN,2011-12-04,2011-12-04MIN
3109,University of Phoenix Stadium,,,,,Dome,Grass,ARI,2011-12-04,2011-12-04ARI
3110,Candlestick Park,53.0,48.0,2.0,W,Sunny,Grass,SF,2011-12-04,2011-12-04SF
3111,MetLife Stadium,52.0,67.0,9.0,S,Fair,FieldTurf,NYG,2011-12-04,2011-12-04NYG
3112,Mercedes-Benz Superdome,,,,,Dome,UBU Speed Series S5M,NO,2011-12-04,2011-12-04NO
3113,EverBank Field,67.0,81.0,6.0,SE,Clear,Grass,JAC,2011-12-05,2011-12-05JAC
3114,Heinz Field,31.0,74.0,6.0,S,Fair,Grass,PIT,2011-12-08,2011-12-08PIT
3115,EverBank Field,58.0,80.0,12.0,N,Chance Rain,Grass,JAC,2011-12-11,2011-12-11JAC
3116,FedEx Field,40.0,33.0,0.0,CALM,Sunny,Grass,WAS,2011-12-11,2011-12-11WAS
3117,Paul Brown Stadium,34.0,47.0,4.0,SSW,Sunny,FieldTurf,CIN,2011-12-11,2011-12-11CIN
3118,MetLife Stadium,37.0,35.0,5.0,NW,Sunny,FieldTurf,NYJ,2011-12-11,2011-12-11NYJ
3119,Ford Field,68.0,,,,Dome,FieldTurf,DET,2011-12-11,2011-12-11DET
3120,LP Field,41.0,44.0,7.0,ENE,Sunny,Grass,TEN,2011-12-11,2011-12-11TEN
3121,Sun Life Stadium,75.0,83.0,11.0,E,Cloudy,Grass,MIA,2011-12-11,2011-12-11MIA
3122,Lambeau Field,43.0,55.0,15.0,S,Clear,DD GrassMaster,GB,2011-12-11,2011-12-11GB
3123,M&T Bank Stadium,43.0,34.0,2.0,E,Sunny,MomentumTurf,BAL,2011-12-11,2011-12-11BAL
3124,Bank of America Stadium,43.0,45.0,10.0,E,Sunny,Grass,CAR,2011-12-11,2011-12-11CAR
3125,Sports Authority Field at Mile High,50.0,22.0,7.0,NE,Sunny,Grass,DEN,2011-12-11,2011-12-11DEN
3126,University of Phoenix Stadium,,,,,Dome,Grass,ARI,2011-12-11,2011-12-11ARI
3127,Qualcomm Stadium,59.0,61.0,5.0,W,Cloudy,Grass,SD,2011-12-11,2011-12-11SD
3128,Cowboys Stadium,,,,,Closed Roof,AstroTurf,DAL,2011-12-11,2011-12-11DAL
3129,CenturyLink Field,40.0,,7.0,NNE,Clear,FieldTurf,SEA,2011-12-12,2011-12-12SEA
3130,Georgia Dome,60.0,,,,Dome,FieldTurf,ATL,2011-12-15,2011-12-15ATL
3131,Raymond James Stadium,66.0,78.0,3.0,NW,Clear,Grass,TB,2011-12-17,2011-12-17TB
3132,Edward Jones Dome,60.0,,,,Dome,AstroTurf,STL,2011-12-18,2011-12-18STL
3133,Ralph Wilson Stadium,31.0,64.0,12.0,S,Cloudy,A Turf Titan,BUF,2011-12-18,2011-12-18BUF
3134,MetLife Stadium,29.0,34.0,9.0,N,Sunny,FieldTurf,NYG,2011-12-18,2011-12-18NYG
3135,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,IND,2011-12-18,2011-12-18IND
3136,Soldier Field,39.0,65.0,5.0,S,Sunny,Grass,CHI,2011-12-18,2011-12-18CHI
3137,Arrowhead Stadium,50.0,58.0,10.0,S,Sunny,Grass,KC,2011-12-18,2011-12-18KC
3138,Reliant Stadium,,,,,Closed Roof,Grass,HOU,2011-12-18,2011-12-18HOU
3139,Mall of America Field at HHH Metrodome,66.0,,,,Dome,UBU Speed Series S5M,MIN,2011-12-18,2011-12-18MIN
3140,O.co Coliseum Oakland,50.0,84.0,1.0,SE,Cloudy,Grass,OAK,2011-12-18,2011-12-18OAK
3141,University of Phoenix Stadium,,,,,Dome,Grass,ARI,2011-12-18,2011-12-18ARI
3142,Lincoln Financial Field,35.0,41.0,9.0,NNW,Sunny,Grass,PHI,2011-12-18,2011-12-18PHI
3143,Sports Authority Field at Mile High,63.0,16.0,3.0,N,Mostly Sunny,Grass,DEN,2011-12-18,2011-12-18DEN
3144,Snapdragon Stadium,58.0,67.0,7.0,SW,Cloudy,Grass,SD,2011-12-18,2011-12-18SD
3145,Candlestick Park,51.0,74.0,10.0,NW,Sunny,Grass,SF,2011-12-19,2011-12-19SF
3146,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,IND,2011-12-22,2011-12-22IND
3147,Gillette Stadium,30.0,,7.0,N,Sunny,FieldTurf,NE,2011-12-24,2011-12-24NE
3148,M&T Bank Stadium,44.0,32.0,10.0,NW,Partly Cloudy,MomentumTurf,BAL,2011-12-24,2011-12-24BAL
3149,Paul Brown Stadium,38.0,63.0,8.0,SSW,Fair,FieldTurf,CIN,2011-12-24,2011-12-24CIN
3150,FedEx Field,45.0,36.0,9.0,N,Sunny,Grass,WAS,2011-12-24,2011-12-24WAS
3151,Ralph Wilson Stadium,30.0,42.0,2.0,ENE,Sunny,A Turf Titan,BUF,2011-12-24,2011-12-24BUF
3152,Heinz Field,36.0,67.0,4.0,W,Cloudy,Grass,PIT,2011-12-24,2011-12-24PIT
3153,MetLife Stadium,35.0,45.0,9.0,N,Clear,FieldTurf,NYJ,2011-12-24,2011-12-24NYJ
3154,Bank of America Stadium,51.0,57.0,9.0,NE,Partly Cloudy,Grass,CAR,2011-12-24,2011-12-24CAR
3155,LP Field,44.0,60.0,2.0,ENE,Sunny,Grass,TEN,2011-12-24,2011-12-24TEN
3156,Arrowhead Stadium,38.0,57.0,7.0,SW,Sunny,Grass,KC,2011-12-24,2011-12-24KC
3157,Ford Field,68.0,,,,Dome,FieldTurf,DET,2011-12-24,2011-12-24DET
3158,Cowboys Stadium,,,,,Closed Roof,AstroTurf,DAL,2011-12-24,2011-12-24DAL
3159,CenturyLink Field,48.0,,8.0,SSE,Cloudy,FieldTurf,SEA,2011-12-24,2011-12-24SEA
3160,Lambeau Field,37.0,64.0,13.0,W,Cloudy,DD GrassMaster,GB,2011-12-25,2011-12-25GB
3161,Mercedes-Benz Superdome,67.0,,,,Dome,UBU Speed Series S5M,NO,2011-12-26,2011-12-26NO
3162,Lincoln Financial Field,53.0,58.0,11.0,S,Sunny,Grass,PHI,2012-01-01,2012-01-01PHI
3163,Cleveland Browns Stadium,49.0,66.0,24.0,W,Cloudy,Grass,CLE,2012-01-01,2012-01-01CLE
3164,Paul Brown Stadium,42.0,68.0,19.0,W,Cloudy,FieldTurf,CIN,2012-01-01,2012-01-01CIN
